title,miles,price,location,link,year
2003 Dodge Ram 2500,332000.0,7200.0,"Englewood, CO",https://www.facebook.com/marketplace/item/819459818803394/,2003.0
2002 Dodge Ram 1500 Long Bed,2000.0,1200.0,"Denver, CO",https://www.facebook.com/marketplace/item/1499104633827536/,2002.0
2000 Ford Excursion Sport Utility 4D,250000.0,3420.0,"Denver, CO",https://www.facebook.com/marketplace/item/211490943626831/,2000.0
2009 Pontiac Pontiac G8,83000.0,1.0,"Fountain, CO",https://www.facebook.com/marketplace/item/3689915521066791/,2009.0
2002 Audi A4,164000.0,2000.0,"Denver, CO",https://www.facebook.com/marketplace/item/837535130118622/,2002.0
2001 Ford Explorer Sport Trac Utility Pickup 4D,145000.0,1700.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2681975835387219/,2001.0
2006 Infiniti FX45 Sport Utility 4D,201000.0,3400.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/490476475244791/,2006.0
2002 Ford Escape XLS Sport Utility 4D,163000.0,950.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/923429488183225/,2002.0
1998 Honda Prelude,1000.0,1200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/426329278356728/,1998.0
1992 Mazda MX-5 Convertible 2D,200000.0,3500.0,"Arvada, CO",https://www.facebook.com/marketplace/item/1626683490832958/,1992.0
1990 Jeep Cherokee Sport Utility 4D,220000.0,1750.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/348351932926817/,1990.0
,,2500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1288514491506274/,
2005 Chevrolet Silverado 2500 LT Pickup 4D 6 1/2 ft,180000.0,10000.0,"Lakewood, CO",https://www.facebook.com/marketplace/item/308655177054758/,2005.0
2009 Saab 93 2.0t,147000.0,2200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/399928977701903/,2009.0
1999 Ford Expedition Sport Utility 4D,121000.0,1600.0,"Johnstown, CO",https://www.facebook.com/marketplace/item/354586142460493/,1999.0
2003 Chevrolet Silverado 2500 Work Truck Pickup 2D 8 ft,327000.0,3500.0,"Agate, CO",https://www.facebook.com/marketplace/item/2012451968890322/,2003.0
2004 Chevrolet Cavalier Coupe 2D,185000.0,1800.0,"Brighton, CO",https://www.facebook.com/marketplace/item/365317714519370/,2004.0
1993 Pontiac Bonneville,96000.0,1500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1727324624099801/,1993.0
2002 Subaru Legacy GT Limited Sedan 4D,170000.0,2000.0,"Woodland Park, CO",https://www.facebook.com/marketplace/item/815387502549711/,2002.0
2009 Honda Fit Hatchback 4D,121000.0,1500.0,"Fountain, CO",https://www.facebook.com/marketplace/item/1047324509041553/,2009.0
2006 Ford Fusion,193000.0,800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/817816585699706/,2006.0
2012 Chrysler 200 S Sedan 4D,61000.0,7000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/715627525713230/,2012.0
2002 Buick Century Custom Sedan 4D,130000.0,2000.0,"Aurora, CO",https://www.facebook.com/marketplace/item/2798014203858269/,2002.0
1997 Jeep Grand Cherokee,200000.0,900.0,"Denver, CO",https://www.facebook.com/marketplace/item/1584060291764768/,1997.0
2000 Audi A6 Sedan 4D,50000.0,1500.0,"Pueblo, CO",https://www.facebook.com/marketplace/item/388735608831703/,2000.0
2004 Honda CR-V EX Sport Utility 4D,144000.0,4495.0,"Englewood, CO",https://www.facebook.com/marketplace/item/1581930781991519/,2004.0
1992 Lexus ES,160000.0,3500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/691516541476835/,1992.0
1964 Chevrolet Impala Sedan 4D,50000.0,8500.0,"Denver, CO",https://www.facebook.com/marketplace/item/715596892595637/,1964.0
2006 Honda Civic,180000.0,1800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/3417049398389645/,2006.0
,,300.0,"Denver, CO",https://www.facebook.com/marketplace/item/685729132339782/,
2010 Ford F-150 XLT Pickup 4D 5 1/2 ft,1000.0,6900.0,"Boulder, CO",https://www.facebook.com/marketplace/item/389544842454579/,2010.0
1992 Dodge D-250 Long Bed,296000.0,9000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/820384801832094/,1992.0
